n_steps,i_episode,finished,return,ground_truth,trial_id,actions,rewards,sim_policy,sim_experiment_setting,sim_cost_function,sim_bmps_file,sim_parameter_file,sim_num_trials,sim_seed,sim_forw_added_cost,sim_back_added_cost,sim_given_cost,sim_distance_multiplier,sim_depth_cost_weight,sim_temp,sim_kappa,sim_gamma,sim_noise,pid
5,0,True,40.5,"[0.0, -2.0, 8.0, -24.0, 48.0, 2.0, 4.0, -48.0, 24.0, 4.0, -4.0, 48.0, 48.0]",3761354316659213714,8,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,kappa",20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
5,0,True,40.5,"[0.0, -2.0, 8.0, -24.0, 48.0, 2.0, 4.0, -48.0, 24.0, 4.0, -4.0, 48.0, 48.0]",3761354316659213714,7,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,kappa",20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
5,0,True,40.5,"[0.0, -2.0, 8.0, -24.0, 48.0, 2.0, 4.0, -48.0, 24.0, 4.0, -4.0, 48.0, 48.0]",3761354316659213714,12,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,kappa",20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
5,0,True,40.5,"[0.0, -2.0, 8.0, -24.0, 48.0, 2.0, 4.0, -48.0, 24.0, 4.0, -4.0, 48.0, 48.0]",3761354316659213714,13,48.0,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,kappa",20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
8,1,True,33.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,8,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,kappa",20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
8,1,True,33.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,4,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,kappa",20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
8,1,True,33.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,7,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,kappa",20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
8,1,True,33.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,12,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,kappa",20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
8,1,True,33.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,3,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,kappa",20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
8,1,True,33.0,"[0.0, 4.0, -8.0, 24.0, 24.0, 2.0, 4.0, -24.0, 24.0, 4.0, -4.0, 48.0, -48.0]",-7876836446114165421,11,-2.5,SoftmaxPolicy,high_increasing,back_dist_depth_eff_forw,Myopic_VOC,"participants_gamma,kappa",20,91,2.5,1.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0
